Date,Open,High,Low,Close,Adj Close,Volume
2019-05-30,34.759998,35.090000,34.480000,34.820000,33.339718,8550000
2019-05-31,33.299999,33.700001,33.150002,33.340000,31.922632,15779900
2019-06-03,33.349998,33.830002,33.080002,33.700001,32.267326,11019400
2019-06-04,34.380001,35.770000,34.299999,35.730000,34.211025,12875700
2019-06-05,36.040001,36.139999,35.330002,35.840000,34.316353,9605600
2019-06-06,35.090000,35.439999,34.459999,35.189999,34.055058,9749200
2019-06-07,35.310001,35.549999,35.150002,35.490002,34.345383,6561000
2019-06-10,36.130001,36.509998,35.889999,36.009998,34.848610,8498000
2019-06-11,36.360001,36.580002,36.099998,36.200001,35.032486,4652000
2019-06-12,36.259998,36.259998,35.560001,35.669998,34.519577,5508100
2019-06-13,35.630001,36.049999,35.410000,36.020000,34.858288,3917300
2019-06-14,35.880001,35.990002,35.540001,35.660000,34.509899,4953400
2019-06-17,35.560001,36.180000,35.360001,36.139999,34.974415,5454900
2019-06-18,36.380001,36.779999,36.139999,36.700001,35.516357,8226900
2019-06-19,37.000000,37.470001,36.750000,36.779999,35.593781,10884800
2019-06-20,37.150002,37.310001,36.490002,36.959999,35.767975,8639700
2019-06-21,36.959999,37.099998,36.650002,36.919998,35.729259,13004600
2019-06-24,36.830002,37.119999,36.580002,36.959999,35.767975,7449000
2019-06-25,37.060001,37.880001,36.740002,37.680000,36.464748,12930500
2019-06-26,37.820000,38.500000,37.709999,38.130001,36.900238,11911400
2019-06-27,38.599998,38.990002,38.160000,38.320000,37.084110,8106600
2019-06-28,38.330002,38.919998,38.330002,38.529999,37.287334,11480900
2019-07-01,38.930000,38.990002,38.430000,38.750000,37.500240,10240000
2019-07-02,38.730000,38.750000,38.150002,38.340000,37.103466,6679300
2019-07-03,38.500000,38.689999,37.990002,38.160000,36.929272,4409400
2019-07-05,38.000000,38.520000,37.740002,38.500000,37.258308,4851900
2019-07-08,38.410000,38.639999,38.119999,38.230000,36.997013,5787300
2019-07-09,37.970001,38.169998,37.580002,38.080002,36.851849,6204700
2019-07-10,38.349998,38.470001,37.869999,38.099998,36.871208,5153100
2019-07-11,38.279999,38.580002,38.099998,38.430000,37.190559,4598400
2019-07-12,38.599998,39.410000,38.520000,39.209999,37.945404,7164700
2019-07-15,39.209999,39.360001,38.889999,39.360001,38.090569,5448800
2019-07-16,38.990002,39.700001,38.650002,39.430000,38.158314,8584800
2019-07-17,39.410000,39.459999,38.820000,39.160000,37.897018,5727300
2019-07-18,38.970001,39.279999,38.869999,39.119999,37.858307,5713800
2019-07-19,39.400002,39.820000,39.240002,39.480000,38.206699,8194500
2019-07-22,39.959999,40.369999,39.770000,39.860001,38.574440,6812800
2019-07-23,40.349998,40.919998,40.150002,40.709999,39.397026,12584300
2019-07-24,40.590000,40.910000,40.330002,40.880001,39.561546,7318200
2019-07-25,40.340000,40.820000,40.119999,40.750000,39.435738,8304800
